time,production_name,production_value
09.2023,Biomass,8.978
09.2023,Wind offshore,8.445
09.2023,Wind onshore,59.994
09.2023,Solar,78.772
09.2023,Battery Storage (Power),7.549
09.2023,Battery Storage (Capacity),11.157
10.2023,Biomass,8.981
10.2023,Wind offshore,8.445
10.2023,Wind onshore,60.406
10.2023,Solar,80.274
10.2023,Battery Storage (Power),7.93
10.2023,Battery Storage (Capacity),11.721
11.2023,Biomass,8.995
11.2023,Wind offshore,8.473
11.2023,Wind onshore,60.606
11.2023,Solar,81.694
11.2023,Battery Storage (Power),8.172
11.2023,Battery Storage (Capacity),12.067
12.2023,Biomass,8.962
12.2023,Wind offshore,8.473
12.2023,Wind onshore,60.998
12.2023,Solar,82.926
12.2023,Battery Storage (Power),8.525
12.2023,Battery Storage (Capacity),12.565
01.2024,Biomass,8.964
01.2024,Wind offshore,8.473
01.2024,Wind onshore,61.128
01.2024,Solar,84.509
01.2024,Battery Storage (Power),8.826
01.2024,Battery Storage (Capacity),12.99
02.2024,Biomass,8.97
02.2024,Wind offshore,8.473
02.2024,Wind onshore,61.343
02.2024,Solar,85.733
02.2024,Battery Storage (Power),9.133
02.2024,Battery Storage (Capacity),13.415
03.2024,Biomass,8.986
03.2024,Wind offshore,8.473
03.2024,Wind onshore,61.555
03.2024,Solar,87.097
03.2024,Battery Storage (Power),9.492
03.2024,Battery Storage (Capacity),13.932
04.2024,Biomass,9.005
04.2024,Wind offshore,8.473
04.2024,Wind onshore,61.698
04.2024,Solar,88.377
04.2024,Battery Storage (Power),9.812
04.2024,Battery Storage (Capacity),14.377
05.2024,Biomass,9.03
05.2024,Wind offshore,8.695
05.2024,Wind onshore,61.742
05.2024,Solar,89.547
05.2024,Battery Storage (Power),10.135
05.2024,Battery Storage (Capacity),14.83
06.2024,Biomass,9.036
06.2024,Wind offshore,8.851
06.2024,Wind onshore,61.919
06.2024,Solar,90.914
06.2024,Battery Storage (Power),10.502
06.2024,Battery Storage (Capacity),15.346
07.2024,Biomass,9.035
07.2024,Wind offshore,9.04
07.2024,Wind onshore,62.136
07.2024,Solar,92.433
07.2024,Battery Storage (Power),10.778
07.2024,Battery Storage (Capacity),15.744
08.2024,Biomass,9.057
08.2024,Wind offshore,9.127
08.2024,Wind onshore,62.324
08.2024,Solar,93.339
08.2024,Battery Storage (Power),11.015
08.2024,Battery Storage (Capacity),16.073
09.2024,Biomass,9.061
09.2024,Wind offshore,9.215
09.2024,Wind onshore,62.524
09.2024,Solar,94.299
09.2024,Battery Storage (Power),11.131
09.2024,Battery Storage (Capacity),16.235
