license_info,price,unit,deprecated,timestamp
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,14.16,EUR / megawatt_hour,false,2024-10-16 09:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,4.09,EUR / megawatt_hour,false,2024-10-16 10:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,2.04,EUR / megawatt_hour,false,2024-10-16 11:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,4.0,EUR / megawatt_hour,false,2024-10-16 12:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,14.18,EUR / megawatt_hour,false,2024-10-16 13:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,54.92,EUR / megawatt_hour,false,2024-10-16 14:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,72.95,EUR / megawatt_hour,false,2024-10-16 15:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,84.47,EUR / megawatt_hour,false,2024-10-16 16:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,88.38,EUR / megawatt_hour,false,2024-10-16 17:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,65.31,EUR / megawatt_hour,false,2024-10-16 18:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,61.86,EUR / megawatt_hour,false,2024-10-16 19:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,35.14,EUR / megawatt_hour,false,2024-10-16 20:00:00
CC BY 4.0 (creativecommons.org/licenses/by/4.0) from Bundesnetzagentur | SMARD.de,26.54,EUR / megawatt_hour,false,2024-10-16 21:00:00
